lca_case_employer_name,total_workers
"RAMPS INTERNATIONAL, INC",9.0
"DENTSU MCGARRY BOWEN, LLC",9.0
LAZARD ASSET MANAGEMENT LLC,9.0
"ARISTON TEK, INC.,",9.0
SOFTCRYLIC LLC,9.0
"APEX TECHNOLOGY SYSTEMS, INC",9.0
HUNTER COLLEGE OF THE CITY UNIVERSITY OF NEW YORK,9.0
"CHARLES RIVER SYSTEMS, INC.",9.0
"CROSS COMMERCE MEDIA, INC.",9.0
"AIG ASSET MANAGEMENT (U.S.), LLC",9.0
"MOTT WOMEN HEALTHCARE, PLLC.",9.0
STELLENT SOLUTIONS INC,9.0
MCGLADREY LLP,9.0
"WELLS FARGO BANK, N.A.",9.0
"CREDITEX GROUP, INC.",9.0
"EVERCORE PARTNERS SERVICES EAST, LLC",9.0
CLSA AMERICAS LLC,9.0
"THOMSON REUTERS HOLDINGS, INC.",9.0
"FRIED, FRANK, HARRIS, SHRIVER & JACOBSON LLP",9.0
"MIO PARTNERS, INC.",9.0
ROTHSCHILD INC.,9.0
TURNER CONSTRUCTION COMPANY,9.0
"PAMTEN, INC.",9.0
"CALYPSO TECHNOLOGY, INC.",9.0
THE CITY COLLEGE OF NEW YORK,9.0
NORTH SHORE-LIJ HEALTH SYSTEM,9.0
WIZCOM CORPORATION,9.0
PACIFIC GLOBAL ADVISORS LLC,9.0
FRIEDMAN LLP,9.0
EISNERAMPER LLP,9.0
"TSR CONSULTING SERVICES, INC.",9.0
"SOLOMON PAGE GROUP, LLC",9.0
"NYSE MARKET (DE), INC.",9.0
"LAB49, INC.",9.0
D-BUG INC,9.0
CIBC WORLD MARKETS CORP.,9.0
"WEIGHT WATCHERS INTERNATIONAL, INC.",9.0
ROPES & GRAY LLP,9.0
"EQUINOX HOLDINGS, INC.",9.0
"NORCAPCO INTEGRATED SOLUTIONS, INC.",9.0
SYNOVATE MANAGEMENT ANALYTICS INC,9.0
"PERNOD RICARD USA, LLC",9.0
"SCM DATA, INC",9.0
NEO@OGILVY LLC,9.0
CLEARY GOTTLIEB STEEN & HAMILTON LLP,9.0
ENNEAD ARCHITECTS LLP,9.0
"OSP GROUP MANAGEMENT SERVICES, L.P.",9.0
"FUSION PLUS SOLUTIONS, INC",9.0
BROOKFIELD PROPERTY GROUP LLC,9.0
REDI GLOBAL TECHNOLOGIES LLC,9.0
"INSTRUMENTAL SERVICES, INC.",9.0
PRUTECH SOLUTIONS INC.,8.0
"AXIOMA, INC.",8.0
"AVON PRODUCTS, INC.",8.0
"JOHN JAY COLLEGE OF CRIMINAL JUSTICE, CUNY",8.0
QUANTUM INFOTECH INC.,8.0
TOWERS WATSON PENNSYLVANIA INC.,8.0
FAIRWAY CENTRAL SERVICES LLC,8.0
ON DECK CAPITAL INC.,8.0
"NEWEDGE USA, LLC",8.0
"SFX ENTERTAINMENT, INC.",8.0
"SAMSUNG INFORMATION SYSTEMS AMERICA, INC.",8.0
"SALESFORCE.COM, INC.",8.0
"ACOTEL INTERACTIVE, INC.",8.0
HILL INTERNATIONAL INC.,8.0
"CARAT USA, INC.",8.0
"RESOURCESYS, INC.",8.0
"THE NASDAQ OMX GROUP, INC.",8.0
"MONGODB, INC.",8.0
"AIT GLOBAL, INC",8.0
"EYEVIEW, INC.",8.0
TEKALLIANZ CORPORATION,8.0
TENAZX INC.,8.0
"NOVAGLOBE, INC.",8.0
"STUDIO NAZAR, INC.",8.0
SUNGARD CONSULTING SERVICES LLC,8.0
ABN AMRO HOLDINGS USA LLC,8.0
"ADVANCE GENERATION TECHNOLOGIES, LLC",8.0
THE NEW YORK AND PRESBYTERIAN HOSPITAL,8.0
TAVANT TECHNOLOGIES INC.,8.0
MERGERMARKET (U.S.) LTD.,8.0
AKF GROUP LLC,8.0
PFIZER INC,8.0
DIRECTV LATIN AMERICA LLC,8.0
KIRSHENBAUM BOND SENECAL + PARTNERS,8.0
"SERRAVIEW AMERICA, INC.",8.0
CHRISTIE'S INC.,8.0
"NATIONAL ECONOMIC RESEARCH ASSOCIATES, INC.",8.0
RICHARD MEIER & PARTNERS ARCHITECTS LLP,8.0
KITANO ARMS CORPORATION,8.0
"SYSCOM (USA), INC",8.0
ITG INC.,8.0
JANE STREET GROUP LLC,8.0
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,8.0
"FIRST TEK, INC.",8.0
"RSG MEDIA SYSTEMS, LLC",8.0
"ROCKWELL ARCHITECTURE, PLANNING AND DESIGN, P.C.",8.0
"GOOGLE, INC.",8.0
KURT SALMON US INC.,8.0
FUNDTECH CORPORATION,8.0
FLOW TRADERS US LLC,8.0
"ITECH US, INC.",8.0
"3.1 PHILLIP LIM, LLC",8.0
"THERAPEUTIC RESOURCES PHYSICAL, OCCUP, & SPEECH TH",8.0
"FLEX CONSULTING GROUP, INC.",8.0
UNITED SOFTWARE GROUP INC.,8.0
RAZORFISH LLC,8.0
"NYC HEALTHCARE STAFFING, LLC",8.0
"AMPLIFY EDUCATION, INC.",8.0
"GLOBAL DATA MANAGEMENT, INC.",8.0
RAYONSOFT TECHNOLOGIES INC.,8.0
"AMTEX SYSTEMS, INC.",8.0
"INFOLOB SOLUTIONS, INC.",8.0
